figure,printed_panel,build_path,source_dir,source_file,source_script,source_data,printed_rect_mm,reproduces_published,note,verdict,verdict_date,evidence,verdict_note
1,A,slotted,_panel_1A,_panel_1A/figure1A.svg,_panel_1A/build_figure.py,_panel_1A/icons_src/,"5.00,6.00,166.00,67.85",yes,"Re-paged 2026-09-15: the study-overview graphic is built at its slot's size (161 x 61.85 mm) by build_figure.py, type floored at 6 pt, and placed by assemble_slotted.py like every other panel; the letter is the assembler's. Before that it was spliced into the submitted 254 mm page. 2026-09-17: purple post-treatment comparison arrow moved between the Post-R and Post-NR boxes to match the pre-treatment comparison; validation label clarified to 'External scRNA-seq'. No data or cohort changed.",reproduced,2026-09-17,10_Reproduction/Figure_1_A.png,"structural +0.99, numbers 4/4, words 100%"
1,B,slotted,01_B,01_B/umap_major_cell_type_stomach.svg,01_B/create_stomach_umap.py,FULL_DATASET_H5AD; data/umap_cells.csv,"5.00,74.00,68.00,136.00",yes,"2026-09-16 (the author's fifth reading: '1B and 1C should be the same height'): 63 x 62 mm beside C on one 62 mm row (build_grid_v2.REPAGED 5,74,68,136), cloud 56.5 mm; comparator CONTENT IDENTICAL against the night's drawing (scratchpad/r41w1/compare41.sh). 2026-09-15 (evening, the author's fourth reading, second pass: 'B and C should still be on one row'): slot 58 x 96 mm at the left of the second row (build_grid_v2.REPAGED), the 56 mm cloud hung from the slot's top; comparator CONTENT IDENTICAL against the afternoon's full-width drawing. Redrawn at 1:1 on 2026-09-15 from data/umap_cells.csv (cnsfig.cache); the twelve on-plot names are the published page's (labels.py RENAMES_FIGURE_1), pinned by hand as the page places them. Renamed from generate_stomach_umap.py so rebuild_panels.py finds it. Round 39 (2026-09-15, evening, the author's fourth reading): one full-width row (5,74,166,140), cloud centred at equal aspect; the white plates behind the twelve names removed.",reproduced,2026-09-16,10_Reproduction/Figure_1_B.png,"structural +0.42, panel states no numbers, words 91%"
1,C,slotted,01_C,01_C/01_C_sample_balance_stomach.svg,01_C/create_stomach_stacked_bar.py,FULL_DATASET_H5AD; data/proportions.csv,"73.00,74.00,166.00,136.00",yes,"2026-09-16 (the author's fifth reading: 'put the key below after all, it does not fit'): the bars UPRIGHT again, 93 x 62 mm (73,74,166,136), the key in four columns below the bars, 32 sample labels at a 2.58 mm pitch, 1.9 mm clearances measured in the script; the night's horizontal bars are withdrawn. Comparator CONTENT IDENTICAL against the round-39 upright panel (fcc9192; scratchpad/r41w1). 2026-09-15 (evening, the author's fourth reading, second pass): beside B again, 98 x 96 mm, the key in two columns of six at the right of the bars as the author asked - and the bars turned to run ACROSS the panel, one sample a row, because upright bars at 6 pt with that key leave the UMAP 15 mm (the 55 mm key, the 9 mm axis and 32 rotated labels at a 2.64 mm pitch). DECLARED DEPARTURE from the published orientation, visualisation only: every one of the 384 bars is the afternoon's bar with x<->y and width<->height swapped, same colour, the 32 sample labels in the same order, 'Proportion' on the x axis (scratch transpose_check_1C.py over the comparator's --json harvest, with a mutation). data/proportions.csv untouched. Bars start 1.2 mm clear of the y spine (box clearance). Redrawn at 1:1 on 2026-09-15 from data/proportions.csv (cnsfig.cache); sample labels are the h5ad's 'Sample ID' study IDs (the submission-tree ST1 copy the earlier script joined no longer carries 'Original Sample ID'). Key through cnsfig.legend.group_key. Renamed from generate_stomach_stacked_bar.py. Round 39 (2026-09-15, evening): one full-width row (5,146,166,206); the key in two columns of six at the right of the bars, 32 sample labels at a 3.0 mm pitch.",reproduced,2026-09-16,10_Reproduction/Figure_1_C.png,"structural +0.55, panel states no numbers, words 100%"
2,A,slotted,02_A,02_A/epithelial_umap_minor_states.svg,02_A/create_epithelial_umap.py,BASE_DIR; EPITHELIAL_H5AD,"8.2,7.7,52.7,54.2",yes,"2026-09-14: cluster labels stay bold at the tick size, as the page sets them; every line width through panel_style_cns RULE_PT (0.6 pt) / EDGE_PT (0.25 pt); titles regular weight; P values through p_label (two decimals). 2026-09-11: slot is 44.5 x 50 mm on the v2 grid (published 44.5 x 46.5; 12_Figure_Refactor/build_grid_v2.py). 2026-09-11: cluster labels set bold black on the embedding with no plate, point area quartered so the clusters print as pastel fields rather than solid blocks (as the published panel does). Redrawn 1:1 at 44.5 x 46.5 mm. Content gate CONTENT IDENTICAL against the harvest of the archived script frozen in 11_Version_B_Restyle/_audit/frozen_A/. Size, type, family, editability, overlap, overprint and painted-over checks pass; overflow (0,0,0,0) and the panel-letter cell clear. Type 6 pt on 9 spans, one family (NimbusSans), one <image> (the rasterised point layer). Fill 84% x 89%: 2.9 mm of the left edge is the panel-letter keep-out, which a full-bleed UMAP can only leave clear by starting to the right of it. The nine cluster labels are drawn at the positions adjust_text reached on the earlier canvas, measured off it by 02_A/measure_version_a_labels.py and pinned; adjust_text is canvas-dependent and re-running it at print size moved 55 plotted values. No two labels overlap and none leaves the axes at 6 pt. scanpy's UMAP1/UMAP2 axis labels are hidden rather than deleted: frameon=False never draws them, and hiding them keeps the strings the panel declares unchanged while the overflow check measures only ink. STRING RESTORATION DECLINED, WITH THE MEASUREMENT. The page prints the nine cluster labels at 5.47 pt with an 'Epi_' prefix; they do not fit this panel at the figure's 6 pt floor. sc.pl.umap locks the axes to equal aspect, so the millimetres between two labels are set by the panel's printed height and no margin recovers any: 'Epi_CEACAM5/6' sets 16.23 mm and 'Epi_Chief_Like' 14.23 mm, their centres stand 12.87 mm apart and half their widths sum to 15.23 mm, so the pair overlaps by 2.37 mm. Widening the box moves the horizontal fill by 0.3 mm and does not change the overlap; shortening it makes a second pair collide. The script's own names clear by 1.88 mm, so the panel keeps them and the difference from the page is reported rather than absorbed.",reproduced,2026-09-14,10_Reproduction/Figure_2_A.png,"structural +0.51, panel states no numbers, words 91%, vs archive +0.32"
2,B,slotted,02_B,02_B/ceacam5_expression_umap.svg,02_B/create_ceacam5_umap.py,BASE_DIR; EPITHELIAL_H5AD; OUTPUT_DIR,"54.3,7.0,79.6,29.6",yes,"2026-09-14: every line width through panel_style_cns RULE_PT (0.6 pt) / EDGE_PT (0.25 pt); titles regular weight; P values through p_label (two decimals). 2026-09-11: slot is 25.3 x 24 mm on the v2 grid (published 25.3 x 22.6; 12_Figure_Refactor/build_grid_v2.py). Redrawn 1:1 at 25.3 x 22.6 mm. Content gate CONTENT IDENTICAL against the harvest of the archived script frozen in 11_Version_B_Restyle/_audit/frozen_A/. Size, type, family, editability, overlap, overprint and painted-over checks pass; overflow (0,0,0,0) and the panel-letter cell clear. 5 spans at 6-7 pt, one family, two <image> (the rasterised point layer and the colour bar). Fill 78% x 92%: the colour bar and its label take 7 mm of a 25.3 mm panel, and the axes starts 2.6 mm in so that the title clears the panel-letter corner. No string was shortened. The gene title is set in italic, as the page sets it. Style only; the string is unchanged. The colour bar carries three gradations where the page carries five: the bar is a physically smaller ruler on the same scale over the same limits, and how finely it is marked is decoration. Panel C, on a slightly taller slot, keeps all five.",reproduced_by_reading,2026-09-14,10_Reproduction/Figure_2_B.png,"structural +0.17, panel states no numbers, printed side has no text layer, vs archive +0.32; read 2026-08-30: CEACAM5 UMAP, expression scale 2-6"
2,C,slotted,02_C,02_C/ceacam6_expression_umap.svg,02_C/create_ceacam6_umap.py,BASE_DIR; EPITHELIAL_H5AD; OUTPUT_DIR,"55.1,31.8,79.8,54.9",yes,"2026-09-14: every line width through panel_style_cns RULE_PT (0.6 pt) / EDGE_PT (0.25 pt); titles regular weight; P values through p_label (two decimals). 2026-09-11: slot is 24.7 x 24 mm on the v2 grid (published 24.7 x 23.1; 12_Figure_Refactor/build_grid_v2.py). Redrawn 1:1 at 24.7 x 23.1 mm. Content gate CONTENT IDENTICAL against the harvest of the archived script frozen in 11_Version_B_Restyle/_audit/frozen_A/. Size, type, family, editability, overlap, overprint and painted-over checks pass; overflow (0,0,0,0) and the panel-letter cell clear. 7 spans at 6-7 pt, one family, two <image>. Fill 78% x 92%, for the same reason as panel B. No string was shortened. The gene title is set in italic, as the page sets it. Style only; the string is unchanged.",reproduced_by_reading,2026-09-14,10_Reproduction/Figure_2_C.png,"structural +0.15, panel states no numbers, printed side has no text layer, vs archive +0.28; read 2026-08-30: CEACAM6 UMAP, expression scale 2-6"
2,D,slotted,02_D,02_D/ceacam_metacell_correlation.svg,02_D/create_ceacam_metacell_correlation.py,EPITHELIAL_H5AD; OUTPUT_DIR; ceacam_metacell_values.csv; ceacam_correlation_levels.csv,"80.5,6.7,111.4,30.3",yes,"2026-09-14: every line width through panel_style_cns RULE_PT (0.6 pt) / EDGE_PT (0.25 pt); titles regular weight; P values through p_label (two decimals). 2026-09-11: slot is 30.9 x 25 mm on the v2 grid (published 30.9 x 23.6; 12_Figure_Refactor/build_grid_v2.py). Redrawn 1:1 at 30.9 x 23.6 mm. Content gate CONTENT IDENTICAL against the harvest of the archived script frozen in 11_Version_B_Restyle/_audit/frozen_A/. Size, type, family, editability, overlap, overprint and painted-over checks pass; overflow (0,0,0,0) and the panel-letter cell clear. 11 spans at 6-7 pt, one family, no <image>. Fill 69% x 89%. Two changes, both to the drawing and neither to a value. The plotting box is square (set_box_aspect(1), which sets the box and not the limits): both axes carry the same quantity on the same scale over the same limits. And the panel prints the metacell correlation alone, rho = 0.72 - verified against 02_D/ceacam_correlation_levels.csv, which records metacell_k10 rho = 0.7207324476639746 over n = 2168 pools, and per-cell rho = 0.4384835335936600 over n = 60937 cells. Both are still computed and both are still written to that file; the per-cell value and its cell count are stated in the figure legend, so the panel does not print them twice. Declared as RENAMES_FIGURE_2 in 00_Config/shared/labels.py. NOTE: this panel's PDF is spliced into the patched Figure 2 by PANEL_SWAPS in patch_figure_annotations.py, which checks its md5 and now refuses to splice the redrawn drawing; the previous file is in 07_Archive/2026-09-09_round19_figure2/figure2_panel_outputs_before_redraw.tar.gz.",reproduced,2026-09-15,10_Reproduction/Figure_2_D.png,"Re-run 2026-09-15 (author's rulings of 2026-09-14 evening): the axis labels' gene symbols italic digit and all. Same values. structural +0.28, numbers 1/1, printed side has no text layer, vs archive +0.23"
2,E,slotted,02_E,02_E/c2_proportion_pre_boxplot.svg,02_E/create_c2_proportion_boxplot.py,BASE_DIR; EPITHELIAL_H5AD; OUTPUT_DIR,"80.5,30.5,111.4,56.6",yes,"2026-09-16 (the author's fifth reading): boxes and brackets through cnsfig.boxes (draw_boxes/bracket: RULE_PT lines, 0.79 mm open fliers, the label's ink 0.4 mm above the bracket line) at the author's ruling of one box style throughout; 'P = 0.057' now through p_label as 'P = 0.06' (declared alias); comparator against ba16ba3: only removed point collections and bracket/label positions moved (scratchpad/r41w2/cmp_*.log). 2026-09-14: every line width through panel_style_cns RULE_PT (0.6 pt) / EDGE_PT (0.25 pt); titles regular weight; P values through p_label (two decimals). 2026-09-11: slot is 30.9 x 28 mm on the v2 grid (published 30.9 x 26.1; 12_Figure_Refactor/build_grid_v2.py). Redrawn 1:1 at 30.9 x 26.1 mm. Content gate CONTENT IDENTICAL against the harvest of the archived script frozen in 11_Version_B_Restyle/_audit/frozen_A/. Size, type, family, editability, overlap, overprint and painted-over checks pass; overflow (0,0,0,0) and the panel-letter cell clear. 9 spans at 6-7 pt, one family, no <image>. Fill 96% x 93%. No string was shortened. Two strings restored from the page: the title, which the page prints as 'Epi_CEACAM5/6' at 8 pt where the script set 'CEACAM5/6 / Epithelial', and the two response ticks, which the page prints as 'Pre-R' and 'Pre-NR' at 6 pt where the script set 'R' and 'NR'. The P value needed nothing: the script computes 0.0571 and the page prints P = 0.057.",reproduced,2026-09-16,10_Reproduction/Figure_2_E.png,"structural +0.95, numbers 1/1, printed side has no text layer, vs archive +0.49"
2,F,slotted,02_F,02_F/epithelial_milo_pre_rvsnr.svg,02_F/create_epithelial_milo_pre_rvsnr.py,BASE_DIR; EPITHELIAL_H5AD; OUTPUT_DIR,"118.1,6.9,169.5,57.1",yes,"2026-09-14: redrawn in pertpy_milo: neighbourhood circles scaled to the published raster (p90 1.55 mm, not pertpy's default), the page's dashed Epi_CEACAM5/6 outline and label restored; every line width through panel_style_cns RULE_PT (0.6 pt) / EDGE_PT (0.25 pt); titles regular weight; P values through p_label (two decimals). Redrawn 1:1 at 51.4 x 50.2 mm. Content gate CONTENT IDENTICAL against the harvest of the archived script frozen in 11_Version_B_Restyle/_audit/frozen_A/. Size, type, family, editability, overlap, overprint and painted-over checks pass; overflow (0,0,0,0) and the panel-letter cell clear. 6 spans at 6-7 pt, one family, one <image>. Fill 73% x 89%: the colour bar and its tick labels take 8 mm of the right edge. Run in the pertpy environment, where pertpy imports and cnsplots does not; panel_style_cns.py falls back to the settings snapshot in 00_Config/panel_style_rc.json, which records the same type spec and refuses to apply itself if a different one is asked for. Both the freeze and the gate were run there. One placement fix, no string changed: scanpy anchors the x axis label to the figure rather than to its axes, so at print size 'UMAP1' fell 2.29 mm off the bottom edge whatever the margins were; it is placed 1.0 mm under its own axes. One string restored from the page: the title, which the page prints as 'Pre-R vs Pre-NR' at 8 pt where the script set 'Pre: R vs NR'. NOT RESTORED, and reported instead: the page also prints 'Epi_CEACAM5/6' at 5.47 pt inside the neighbourhood graph, at 144.0, 47.3 mm. No script on disk draws it - it was placed at assembly - so drawing it here would add a text element the panel has never had, which is a content change and not a restoration. Round 38: drawing reads data/nhoods.csv and data/ceacam_cells.csv (cnsfig.cache; Milo runs only with --recompute in pertpy_milo); embedding fills the slot; circles 2.3 -> 3.0 mm at the 90th percentile, proportional.",reproduced_by_reading,2026-09-15,10_Reproduction/Figure_2_F.png,"Re-run 2026-09-15 (author's rulings of 2026-09-14 evening): neighbourhood circles scaled up 1.48x, ratios unchanged. Same values. structural +0.51, panel states no numbers, printed side has no text layer, vs archive +0.57; read 2026-08-30: Milo neighbourhoods, logFC scale -4..4"
2,G,slotted,02_H,02_H/mp45_gene_dotplot.svg,02_H/create_mp45_gene_dotplot.py,BASE_DIR; STOMACH_NMF_DIR; {sample}_nmf_k{k}_genes.csv; panel_A2_stomach_all_mp_assignments.csv,"5.0,62.3,95.5,95.6",yes,"2026-09-14: dots at the published size (largest 3.27 mm), black edges, dashed separator, italic 45-degree genes, size key through cnsfig.legend.compact_key in a 12 mm column; every line width through panel_style_cns RULE_PT (0.6 pt) / EDGE_PT (0.25 pt); titles regular weight; P values through p_label (two decimals). 2026-09-11: slot is 90.5 x 38 mm on the v2 grid (published 90.5 x 33.3; 12_Figure_Refactor/build_grid_v2.py). Redrawn 1:1 at 90.5 x 33.3 mm. Content gate CONTENT IDENTICAL against the harvest of the archived script frozen in 11_Version_B_Restyle/_audit/frozen_A/. Size, type, family, editability, overlap, overprint and painted-over checks pass; overflow (0,0,0,0) and the panel-letter cell clear. 26 spans at 6-7 pt, one family, no <image>. Fill 97% x 94%. The sixteen gene labels fit unabbreviated at 6 pt and the size legend fits beside them. No string was shortened.",reproduced_by_reading,2026-09-14,10_Reproduction/Figure_2_G.png,"structural +0.14, panel states no numbers, printed side has no text layer, vs archive +0.46; read 2026-08-30: 5 metaprograms x 16 genes, PDZK1IP1..MUC4 in the printed order"
